Date,PortfolioName,Action,Asset,QuantityChange,ValueChange
2025-04-07,Tech Fund,Sell,META,-39,6101.66
2025-04-08,Dividend Fund,Sell,GOOG,-22,5000.44
2025-04-09,Value Fund,Buy,NVDA,44,10953.46
2025-04-10,Growth Fund,Sell,AAPL,-61,13780.79
2025-04-11,Growth Fund,Sell,META,-85,33277.51
2025-04-12,Tech Fund,Sell,MSFT,-59,10701.28
2025-04-13,Dividend Fund,Buy,AAPL,38,12421.97
2025-04-14,Dividend Fund,Sell,GOOG,-10,4288.93
2025-04-15,Tech Fund,Sell,GOOGL,-60,26591.75
2025-04-16,Tech Fund,Sell,TSLA,-91,36804.25
2025-04-17,Tech Fund,Sell,GOOG,-25,5679.28
2025-04-18,Dividend Fund,Sell,META,-30,2622.51
2025-04-19,Tech Fund,Sell,AMZN,-32,10418.43
2025-04-20,Tech Fund,Buy,BABA,43,10427.63
2025-04-21,Dividend Fund,Sell,BABA,-15,4677.65
2025-04-22,Growth Fund,Sell,BABA,-1,350.82
2025-04-23,Dividend Fund,Sell,GOOG,-82,23676.0
2025-04-24,Tech Fund,Sell,META,-36,7491.56
2025-04-25,Tech Fund,Buy,AAPL,86,13734.6
2025-04-26,Value Fund,Sell,META,-84,11248.96
2025-04-27,Growth Fund,Buy,NFLX,16,6243.16
2025-04-28,Tech Fund,Buy,GOOG,50,11233.97
2025-04-29,Tech Fund,Sell,BABA,-12,4613.26
2025-04-30,Tech Fund,Sell,TSLA,-77,20629.39
2025-05-01,Value Fund,Buy,NVDA,44,14281.27
2025-05-02,Dividend Fund,Sell,MSFT,-49,9578.9
2025-05-03,Growth Fund,Sell,META,-60,28932.81
2025-05-04,Dividend Fund,Sell,AAPL,-60,14015.98
2025-05-05,Dividend Fund,Buy,AAPL,14,5786.67
2025-05-06,Dividend Fund,Sell,GOOG,-87,35047.94
2025-05-07,Value Fund,Sell,BABA,-50,21173.74
2025-05-08,Growth Fund,Buy,AMZN,51,10331.01
2025-05-09,Dividend Fund,Sell,NFLX,-34,6848.67
2025-05-10,Growth Fund,Buy,MSFT,55,4277.54
2025-05-11,Value Fund,Sell,AMZN,-57,12289.22
2025-05-12,Tech Fund,Buy,AMZN,12,1000.27
2025-05-13,Tech Fund,Buy,BABA,88,10213.57
2025-05-14,Dividend Fund,Buy,GOOGL,50,3596.24
2025-05-15,Value Fund,Sell,META,-73,15364.23
2025-05-16,Value Fund,Sell,AMZN,-98,41516.49
2025-05-17,Growth Fund,Sell,GOOG,-35,1787.67
2025-05-18,Value Fund,Sell,GOOGL,-91,42882.9
2025-05-19,Tech Fund,Sell,TSLA,-73,17733.56
2025-05-20,Growth Fund,Buy,MSFT,90,9830.12
2025-05-21,Growth Fund,Buy,MSFT,70,10834.17
2025-05-22,Tech Fund,Sell,AMZN,-21,7954.68
2025-05-23,Tech Fund,Sell,META,-69,27848.5
2025-05-24,Dividend Fund,Buy,TSLA,52,20813.1
2025-05-25,Growth Fund,Sell,MSFT,-51,11483.42
2025-05-26,Growth Fund,Buy,BABA,12,2005.4
2025-05-27,Growth Fund,Sell,AAPL,-66,19403.35
2025-05-28,Growth Fund,Sell,AAPL,-83,21914.17
2025-05-29,Dividend Fund,Buy,NFLX,40,10314.78
2025-05-30,Dividend Fund,Buy,MSFT,2,303.44
2025-05-31,Dividend Fund,Buy,NFLX,43,18546.75
2025-06-01,Dividend Fund,Sell,BABA,-2,241.79
2025-06-02,Dividend Fund,Buy,MSFT,70,7559.86
2025-06-03,Tech Fund,Buy,NVDA,64,14877.56
2025-06-04,Value Fund,Sell,META,-66,22780.42
2025-06-05,Value Fund,Buy,NVDA,3,1471.51
2025-06-06,Tech Fund,Sell,META,-69,25604.47
2025-06-07,Dividend Fund,Sell,GOOG,-97,28140.78
2025-06-08,Dividend Fund,Sell,NFLX,-52,18880.12
2025-06-09,Tech Fund,Sell,META,-24,9678.52
2025-06-10,Dividend Fund,Buy,TSLA,36,7270.11
2025-06-11,Dividend Fund,Buy,MSFT,59,8027.67
2025-06-12,Dividend Fund,Buy,NFLX,18,6930.2
2025-06-13,Dividend Fund,Buy,GOOGL,61,6782.26
2025-06-14,Growth Fund,Buy,AMZN,5,2417.2
2025-06-15,Dividend Fund,Buy,AAPL,35,14043.45
2025-06-16,Growth Fund,Sell,NVDA,-100,12918.88
2025-06-17,Value Fund,Sell,NVDA,-62,19789.65
2025-06-18,Growth Fund,Buy,META,14,4976.03
2025-06-19,Growth Fund,Buy,AMZN,41,7277.69
2025-06-20,Tech Fund,Sell,AAPL,-24,10173.96
2025-06-21,Growth Fund,Sell,NVDA,-94,9766.92
2025-06-22,Tech Fund,Sell,NFLX,-56,10738.12
2025-06-23,Growth Fund,Buy,AMZN,18,4103.62
2025-06-24,Dividend Fund,Sell,TSLA,-44,14666.96
2025-06-25,Tech Fund,Sell,AAPL,-42,16252.58
2025-06-26,Tech Fund,Sell,BABA,-4,1851.77
2025-06-27,Dividend Fund,Buy,NVDA,1,437.3
2025-06-28,Growth Fund,Sell,GOOGL,-47,19321.12
2025-06-29,Tech Fund,Buy,BABA,63,8029.78
2025-06-30,Tech Fund,Sell,NVDA,-63,21434.98
2025-07-01,Dividend Fund,Sell,GOOGL,-68,29318.39
2025-07-02,Dividend Fund,Sell,TSLA,-52,25528.39
2025-07-03,Tech Fund,Sell,META,-63,28256.37
2025-07-04,Tech Fund,Sell,NVDA,-48,15514.87
2025-07-05,Dividend Fund,Sell,GOOGL,-46,18296.48
2025-07-06,Dividend Fund,Sell,BABA,-89,4827.39
2025-07-07,Growth Fund,Buy,BABA,77,21165.59
2025-07-08,Value Fund,Buy,GOOG,100,16974.94
2025-07-09,Dividend Fund,Buy,TSLA,15,3383.01
2025-07-10,Value Fund,Buy,GOOG,91,41517.75
2025-07-11,Tech Fund,Buy,NVDA,32,11597.43
2025-07-12,Tech Fund,Sell,TSLA,-22,10945.94
2025-07-13,Value Fund,Buy,BABA,90,23135.28
2025-07-14,Growth Fund,Sell,GOOGL,-76,27147.43
2025-07-15,Tech Fund,Buy,GOOGL,9,2938.21
2025-07-16,Tech Fund,Sell,AAPL,-41,15990.87
2025-07-17,Tech Fund,Buy,AMZN,60,7836.61
2025-07-18,Value Fund,Sell,GOOG,-41,15777.26
2025-07-19,Dividend Fund,Buy,NVDA,90,22453.52
2025-07-20,Value Fund,Sell,NVDA,-95,8765.89
2025-07-21,Growth Fund,Buy,AAPL,14,4016.48
2025-07-22,Dividend Fund,Buy,AMZN,63,4169.89
2025-07-23,Value Fund,Sell,AMZN,-87,35178.0
2025-07-24,Dividend Fund,Buy,AAPL,65,29915.29
2025-07-25,Value Fund,Sell,NFLX,-16,6522.25
2025-07-26,Dividend Fund,Buy,NVDA,65,18931.23
2025-07-27,Tech Fund,Buy,NVDA,8,1661.13
2025-07-28,Tech Fund,Sell,NVDA,-18,5462.86
2025-07-29,Growth Fund,Buy,NFLX,19,8698.06
2025-07-30,Dividend Fund,Buy,MSFT,62,16972.53
2025-07-31,Tech Fund,Sell,GOOGL,-77,36632.18
2025-08-01,Tech Fund,Sell,TSLA,-30,13582.95
2025-08-02,Growth Fund,Buy,AMZN,53,6029.44
2025-08-03,Growth Fund,Sell,NFLX,-98,27605.9
2025-08-04,Tech Fund,Sell,NVDA,-3,927.26
2025-08-05,Growth Fund,Buy,BABA,30,7698.04
2025-08-06,Tech Fund,Buy,MSFT,18,7237.32
2025-08-07,Tech Fund,Buy,NFLX,59,14044.05
2025-08-08,Growth Fund,Buy,GOOGL,96,22619.37
2025-08-09,Value Fund,Sell,META,-91,5797.82
2025-08-10,Value Fund,Sell,NFLX,-98,42171.37
2025-08-11,Value Fund,Sell,AAPL,-26,6353.27
2025-08-12,Tech Fund,Sell,TSLA,-44,7887.1
2025-08-13,Dividend Fund,Sell,GOOGL,-24,9182.88
2025-08-14,Growth Fund,Buy,AMZN,25,12287.67
2025-08-15,Tech Fund,Buy,NVDA,52,3577.24
2025-08-16,Tech Fund,Sell,GOOG,-26,3093.24
2025-08-17,Tech Fund,Sell,AAPL,-67,11482.13
2025-08-18,Tech Fund,Buy,GOOG,17,6991.73
2025-08-19,Growth Fund,Sell,AAPL,-81,10323.98
2025-08-20,Dividend Fund,Sell,NVDA,-74,33485.83
2025-08-21,Tech Fund,Buy,NFLX,93,40718.3
2025-08-22,Tech Fund,Sell,TSLA,-8,1526.33
2025-08-23,Tech Fund,Sell,MSFT,-86,42396.77
2025-08-24,Growth Fund,Buy,TSLA,16,3053.16
2025-08-25,Tech Fund,Buy,MSFT,2,459.09
2025-08-26,Dividend Fund,Sell,GOOG,-38,14845.84
2025-08-27,Value Fund,Buy,NVDA,62,24471.6
2025-08-28,Growth Fund,Sell,MSFT,-75,31820.34
2025-08-29,Dividend Fund,Buy,NVDA,64,30800.82
2025-08-30,Tech Fund,Buy,AMZN,79,20714.33
2025-08-31,Dividend Fund,Buy,AAPL,93,38424.9
2025-09-01,Dividend Fund,Sell,MSFT,-97,20234.95
2025-09-02,Tech Fund,Buy,NVDA,18,1889.0
2025-09-03,Tech Fund,Buy,GOOGL,93,13796.48
2025-09-04,Value Fund,Buy,MSFT,73,9531.27
2025-09-05,Dividend Fund,Buy,TSLA,28,5129.74
2025-09-06,Dividend Fund,Sell,AAPL,-27,5035.72
2025-09-07,Growth Fund,Buy,MSFT,40,9134.88
2025-09-08,Tech Fund,Sell,NVDA,-25,9460.66
2025-09-09,Value Fund,Sell,GOOG,-98,24588.65
2025-09-10,Tech Fund,Buy,NVDA,51,15210.0
2025-09-11,Dividend Fund,Sell,META,-75,27095.18
2025-09-12,Value Fund,Buy,NFLX,59,20286.02
2025-09-13,Growth Fund,Sell,GOOGL,-65,31943.16
2025-09-14,Growth Fund,Sell,AAPL,-5,1688.0
2025-09-15,Value Fund,Sell,NVDA,-81,33515.65
2025-09-16,Growth Fund,Buy,AAPL,30,14277.63
2025-09-17,Dividend Fund,Sell,AMZN,-63,11158.31
2025-09-18,Dividend Fund,Buy,GOOG,46,20463.57
2025-09-19,Dividend Fund,Sell,NVDA,-62,9311.75
2025-09-20,Tech Fund,Buy,AAPL,4,1271.99
2025-09-21,Tech Fund,Buy,NVDA,44,17947.99
2025-09-22,Growth Fund,Buy,MSFT,43,11326.68
2025-09-23,Dividend Fund,Buy,AMZN,9,4497.82
2025-09-24,Value Fund,Sell,AAPL,-21,2175.67
2025-09-25,Dividend Fund,Buy,AAPL,100,37234.57
2025-09-26,Growth Fund,Sell,NVDA,-10,2850.35
2025-09-27,Dividend Fund,Buy,GOOG,84,24314.82
2025-09-28,Value Fund,Buy,MSFT,30,10953.06
2025-09-29,Value Fund,Sell,NVDA,-9,3799.88
2025-09-30,Dividend Fund,Sell,NVDA,-23,9468.42
2025-10-01,Growth Fund,Buy,META,99,32041.09
2025-10-02,Tech Fund,Buy,BABA,67,28928.69
2025-10-03,Dividend Fund,Buy,GOOG,22,3074.62
2025-10-04,Value Fund,Sell,GOOG,-83,33998.36
2025-10-05,Value Fund,Buy,META,56,4416.53
2025-10-06,Tech Fund,Sell,GOOG,-86,27261.44
2025-10-07,Tech Fund,Sell,NVDA,-60,25905.51
2025-10-08,Value Fund,Sell,NVDA,-52,4067.32
2025-10-09,Dividend Fund,Buy,MSFT,7,2876.66
2025-10-10,Value Fund,Buy,META,36,8144.76
2025-10-11,Growth Fund,Sell,BABA,-19,7949.19
2025-10-12,Dividend Fund,Buy,AAPL,65,18630.81
2025-10-13,Tech Fund,Sell,NFLX,-90,26547.89
2025-10-14,Tech Fund,Sell,GOOGL,-55,26787.16
2025-10-15,Growth Fund,Sell,GOOGL,-30,11602.83
2025-10-16,Tech Fund,Buy,AMZN,43,13725.0
2025-10-17,Tech Fund,Buy,GOOG,60,5473.47
2025-10-18,Growth Fund,Sell,AAPL,-61,22382.65
2025-10-19,Value Fund,Buy,META,93,37062.43
2025-10-20,Dividend Fund,Buy,META,91,41101.66
2025-10-21,Growth Fund,Sell,TSLA,-59,20466.65
2025-10-22,Growth Fund,Buy,TSLA,37,6328.11
2025-10-23,Tech Fund,Buy,AMZN,78,9762.09
2025-10-24,Dividend Fund,Buy,MSFT,75,15470.78
2025-10-25,Value Fund,Buy,META,89,13392.89
2025-10-26,Growth Fund,Buy,AMZN,64,6101.61
2025-10-27,Tech Fund,Buy,META,71,32749.41
2025-10-28,Tech Fund,Buy,AAPL,99,14803.3
2025-10-29,Dividend Fund,Sell,BABA,-3,1083.86
2025-10-30,Growth Fund,Buy,NVDA,6,1063.9
2025-10-31,Tech Fund,Sell,GOOG,-27,5027.06
2025-11-01,Value Fund,Sell,BABA,-83,20111.75
2025-11-02,Tech Fund,Sell,AAPL,-32,5801.07
2025-11-03,Tech Fund,Sell,GOOGL,-42,12893.77
2025-11-04,Dividend Fund,Buy,NFLX,26,1690.31
2025-11-05,Dividend Fund,Sell,NVDA,-32,10842.25
2025-11-06,Value Fund,Buy,AAPL,77,14261.84
2025-11-07,Tech Fund,Buy,GOOGL,12,4859.29
2025-11-08,Tech Fund,Sell,MSFT,-44,12689.09
2025-11-09,Growth Fund,Buy,GOOGL,62,26808.28
2025-11-10,Dividend Fund,Sell,AMZN,-96,16253.87
2025-11-11,Growth Fund,Sell,BABA,-82,8658.68
2025-11-12,Tech Fund,Buy,TSLA,47,18821.51
2025-11-13,Dividend Fund,Buy,META,2,761.45
2025-11-14,Tech Fund,Buy,TSLA,55,21239.52
2025-11-15,Tech Fund,Sell,NVDA,-36,16497.31
2025-11-16,Growth Fund,Sell,GOOGL,-49,3219.09
2025-11-17,Tech Fund,Sell,NVDA,-88,42337.05
2025-11-18,Growth Fund,Buy,NVDA,57,3845.21
2025-11-19,Tech Fund,Sell,TSLA,-8,485.39
2025-11-20,Growth Fund,Buy,NFLX,88,28805.1
2025-11-21,Dividend Fund,Buy,GOOGL,68,9644.05
2025-11-22,Dividend Fund,Buy,TSLA,100,7019.2
2025-11-23,Dividend Fund,Sell,AAPL,-56,16088.64
2025-11-24,Dividend Fund,Sell,NFLX,-19,5073.33
2025-11-25,Growth Fund,Sell,AMZN,-7,2187.87
2025-11-26,Growth Fund,Buy,BABA,40,10769.44
2025-11-27,Value Fund,Buy,GOOGL,5,2172.7
2025-11-28,Value Fund,Buy,META,7,982.15
2025-11-29,Value Fund,Buy,BABA,51,17815.87
2025-11-30,Growth Fund,Sell,NVDA,-41,15200.27
2025-12-01,Growth Fund,Sell,AAPL,-75,19178.37
2025-12-02,Value Fund,Sell,MSFT,-34,11253.39
2025-12-03,Value Fund,Buy,AMZN,67,32525.46
2025-12-04,Growth Fund,Buy,GOOG,12,4750.06
2025-12-05,Growth Fund,Buy,TSLA,12,5445.46
2025-12-06,Dividend Fund,Buy,AAPL,35,2607.51
2025-12-07,Tech Fund,Sell,AAPL,-40,14192.44
2025-12-08,Tech Fund,Buy,AAPL,11,3841.38
2025-12-09,Value Fund,Sell,NFLX,-57,10292.75
2025-12-10,Value Fund,Buy,GOOGL,59,24223.31
2025-12-11,Tech Fund,Buy,NVDA,36,2882.68
2025-12-12,Value Fund,Sell,GOOG,-35,14326.82
2025-12-13,Growth Fund,Sell,NFLX,-17,8138.4
2025-12-14,Value Fund,Sell,BABA,-28,10516.13
2025-12-15,Growth Fund,Buy,TSLA,76,37674.96
2025-12-16,Value Fund,Buy,META,92,40157.75
2025-12-17,Growth Fund,Sell,NFLX,-38,5526.11
2025-12-18,Value Fund,Buy,MSFT,14,4357.55
2025-12-19,Growth Fund,Buy,NVDA,6,2393.15
2025-12-20,Dividend Fund,Sell,MSFT,-1,166.94
2025-12-21,Tech Fund,Buy,MSFT,68,15254.34
2025-12-22,Dividend Fund,Sell,MSFT,-22,7480.48
2025-12-23,Dividend Fund,Buy,AMZN,74,27515.86
2025-12-24,Tech Fund,Buy,AAPL,46,5189.34
2025-12-25,Dividend Fund,Buy,BABA,26,2024.91
2025-12-26,Tech Fund,Buy,AMZN,97,25402.8
2025-12-27,Growth Fund,Buy,NVDA,16,5383.07
2025-12-28,Dividend Fund,Sell,GOOG,-59,15526.89
2025-12-29,Dividend Fund,Sell,GOOGL,-27,12961.41
2025-12-30,Growth Fund,Sell,TSLA,-44,6096.6
2025-12-31,Tech Fund,Buy,MSFT,34,3863.14
2026-01-01,Tech Fund,Sell,MSFT,-50,8145.66
2026-01-02,Dividend Fund,Buy,AAPL,21,5905.65
2026-01-03,Dividend Fund,Buy,MSFT,81,33886.06
2026-01-04,Growth Fund,Sell,MSFT,-2,862.97
2026-01-05,Tech Fund,Sell,TSLA,-31,11335.33
2026-01-06,Dividend Fund,Sell,META,-24,5792.33
2026-01-07,Growth Fund,Sell,AMZN,-75,23060.9
2026-01-08,Tech Fund,Buy,AAPL,48,10501.29
2026-01-09,Growth Fund,Sell,META,-4,1711.09
2026-01-10,Tech Fund,Sell,NVDA,-13,1807.77
2026-01-11,Dividend Fund,Sell,GOOGL,-23,5942.99
2026-01-12,Tech Fund,Sell,AMZN,-54,12808.58
2026-01-13,Dividend Fund,Sell,META,-56,2902.22
2026-01-14,Dividend Fund,Buy,AMZN,37,15618.15
2026-01-15,Growth Fund,Buy,GOOG,95,9832.62
2026-01-16,Dividend Fund,Sell,AAPL,-21,7843.78
2026-01-17,Growth Fund,Buy,AAPL,56,22344.65
2026-01-18,Dividend Fund,Sell,BABA,-36,4214.88
2026-01-19,Tech Fund,Buy,AMZN,51,17324.09
2026-01-20,Dividend Fund,Buy,BABA,45,7553.09
2026-01-21,Growth Fund,Buy,BABA,30,7762.57
2026-01-22,Growth Fund,Sell,AMZN,-36,5394.93
2026-01-23,Value Fund,Sell,AAPL,-42,13821.77
2026-01-24,Value Fund,Buy,BABA,59,3300.97
2026-01-25,Dividend Fund,Sell,NFLX,-66,30999.95
2026-01-26,Tech Fund,Sell,GOOGL,-74,11445.68
2026-01-27,Dividend Fund,Buy,NFLX,78,36452.41
2026-01-28,Dividend Fund,Buy,AAPL,21,6939.14
2026-01-29,Value Fund,Sell,AMZN,-71,13645.7
2026-01-30,Value Fund,Sell,NFLX,-84,38803.82
2026-01-31,Dividend Fund,Buy,TSLA,59,24469.66
2026-02-01,Dividend Fund,Sell,AMZN,-15,5147.23
2026-02-02,Growth Fund,Sell,NVDA,-5,444.41
2026-02-03,Tech Fund,Sell,NFLX,-85,26443.63
2026-02-04,Value Fund,Buy,AAPL,10,3139.07
2026-02-05,Dividend Fund,Sell,MSFT,-97,43497.48
2026-02-06,Tech Fund,Sell,AMZN,-97,4880.21
2026-02-07,Growth Fund,Buy,TSLA,89,24673.54
2026-02-08,Value Fund,Sell,NFLX,-40,4381.03
2026-02-09,Growth Fund,Buy,NFLX,81,9293.0
2026-02-10,Tech Fund,Buy,META,10,2115.51
2026-02-11,Growth Fund,Buy,AAPL,62,28430.08
2026-02-12,Tech Fund,Sell,NFLX,-66,21982.3
2026-02-13,Tech Fund,Sell,META,-52,21768.27
2026-02-14,Dividend Fund,Buy,META,13,1717.76
2026-02-15,Dividend Fund,Sell,META,-52,17253.46
2026-02-16,Dividend Fund,Buy,GOOG,65,6756.29
2026-02-17,Tech Fund,Buy,META,44,5700.8
2026-02-18,Growth Fund,Buy,BABA,4,287.23
2026-02-19,Growth Fund,Buy,GOOGL,13,4349.38
2026-02-20,Dividend Fund,Sell,NVDA,-5,2037.34
2026-02-21,Value Fund,Sell,MSFT,-53,9634.22
2026-02-22,Tech Fund,Sell,AAPL,-59,10753.69
2026-02-23,Tech Fund,Sell,NVDA,-30,5099.15
2026-02-24,Growth Fund,Buy,GOOG,65,29055.28
2026-02-25,Dividend Fund,Sell,NFLX,-75,14501.55
2026-02-26,Tech Fund,Buy,GOOGL,19,4134.33
2026-02-27,Value Fund,Sell,NVDA,-26,12543.91
2026-02-28,Value Fund,Sell,BABA,-7,2227.95
2026-03-01,Tech Fund,Buy,NVDA,3,671.81
2026-03-02,Value Fund,Buy,MSFT,84,18024.44
2026-03-03,Value Fund,Buy,GOOG,32,11097.67
2026-03-04,Dividend Fund,Sell,META,-55,7250.63
2026-03-05,Value Fund,Sell,GOOGL,-79,8389.15
2026-03-06,Value Fund,Sell,GOOG,-10,787.28
2026-03-07,Growth Fund,Sell,MSFT,-12,5385.12
2026-03-08,Dividend Fund,Buy,GOOG,40,16786.35
2026-03-09,Growth Fund,Sell,META,-60,18849.13
2026-03-10,Growth Fund,Sell,TSLA,-25,10480.84
2026-03-11,Dividend Fund,Sell,META,-56,10296.1
2026-03-12,Value Fund,Buy,AMZN,42,5044.26
2026-03-13,Growth Fund,Sell,BABA,-84,33101.82
2026-03-14,Tech Fund,Buy,NVDA,85,10461.91
2026-03-15,Growth Fund,Sell,TSLA,-83,40964.61
2026-03-16,Growth Fund,Buy,NFLX,45,11817.65
2026-03-17,Dividend Fund,Sell,AAPL,-82,21211.35
2026-03-18,Tech Fund,Sell,MSFT,-90,10278.61
2026-03-19,Value Fund,Buy,TSLA,79,31560.65
2026-03-20,Tech Fund,Buy,TSLA,33,13409.35
2026-03-21,Value Fund,Sell,GOOGL,-42,11611.59
2026-03-22,Growth Fund,Buy,NVDA,10,3733.77
2026-03-23,Dividend Fund,Buy,GOOGL,58,20707.46
2026-03-24,Dividend Fund,Sell,MSFT,-19,4364.69
2026-03-25,Tech Fund,Buy,GOOGL,50,20563.79
2026-03-26,Tech Fund,Buy,TSLA,91,38749.87
2026-03-27,Growth Fund,Buy,NVDA,96,14194.3
2026-03-28,Dividend Fund,Buy,GOOG,20,3800.71
2026-03-29,Tech Fund,Buy,TSLA,11,4948.2
2026-03-30,Growth Fund,Sell,BABA,-6,2167.25
2026-03-31,Growth Fund,Buy,AMZN,96,10674.67
2026-04-01,Tech Fund,Sell,NFLX,-60,3559.48
2026-04-02,Value Fund,Buy,GOOG,5,1014.84
2026-04-03,Value Fund,Buy,BABA,13,3208.39
2026-04-04,Dividend Fund,Sell,AMZN,-36,13896.2
2026-04-05,Value Fund,Sell,NVDA,-30,9360.42
2026-04-06,Value Fund,Sell,MSFT,-53,3747.92
2026-04-07,Growth Fund,Buy,BABA,9,3690.63
2026-04-08,Dividend Fund,Buy,GOOG,65,10834.73
2026-04-09,Value Fund,Buy,BABA,52,4575.87
2026-04-10,Tech Fund,Buy,MSFT,70,21766.97
2026-04-11,Value Fund,Sell,MSFT,-57,11643.59
2026-04-12,Growth Fund,Buy,NVDA,19,1549.69
2026-04-13,Dividend Fund,Sell,TSLA,-100,47261.03
2026-04-14,Growth Fund,Sell,NFLX,-63,15141.31
2026-04-15,Tech Fund,Buy,NFLX,21,1606.9
2026-04-16,Dividend Fund,Sell,GOOG,-35,8301.13
2026-04-17,Value Fund,Sell,GOOG,-21,3546.22
2026-04-18,Value Fund,Sell,NFLX,-40,14569.1
2026-04-19,Growth Fund,Sell,GOOG,-7,3419.73
2026-04-20,Growth Fund,Buy,AMZN,67,27815.56
2026-04-21,Tech Fund,Buy,GOOG,19,5371.24
2026-04-22,Dividend Fund,Sell,NFLX,-75,13914.61
2026-04-23,Value Fund,Sell,NVDA,-90,24312.86
2026-04-24,Dividend Fund,Sell,MSFT,-86,33480.66
2026-04-25,Value Fund,Buy,NFLX,44,11005.93
2026-04-26,Growth Fund,Buy,META,30,5928.9
2026-04-27,Dividend Fund,Buy,NFLX,97,8240.36
2026-04-28,Value Fund,Buy,NFLX,30,9486.58
2026-04-29,Value Fund,Sell,BABA,-37,14071.25
2026-04-30,Dividend Fund,Sell,META,-36,9408.78
2026-05-01,Value Fund,Buy,META,31,7643.13
2026-05-02,Dividend Fund,Sell,AMZN,-26,9646.04
2026-05-03,Growth Fund,Buy,NFLX,53,8182.51
2026-05-04,Growth Fund,Sell,MSFT,-68,4836.93
2026-05-05,Growth Fund,Sell,AMZN,-50,6833.76
2026-05-06,Tech Fund,Buy,NFLX,63,16169.22
2026-05-07,Tech Fund,Buy,AMZN,36,15618.04
2026-05-08,Value Fund,Buy,MSFT,52,20948.45
2026-05-09,Growth Fund,Buy,AMZN,13,3271.78
2026-05-10,Dividend Fund,Sell,AMZN,-70,10172.93
2026-05-11,Value Fund,Buy,NFLX,6,1687.74
2026-05-12,Dividend Fund,Sell,AAPL,-85,13625.16
2026-05-13,Dividend Fund,Buy,NFLX,39,11113.15
2026-05-14,Value Fund,Buy,META,9,3637.91
2026-05-15,Dividend Fund,Buy,NFLX,16,2806.91
2026-05-16,Growth Fund,Sell,NVDA,-11,1335.62
2026-05-17,Growth Fund,Sell,AAPL,-71,32332.34
2026-05-18,Tech Fund,Buy,AMZN,18,2667.17
2026-05-19,Value Fund,Sell,NFLX,-3,157.64
2026-05-20,Value Fund,Buy,TSLA,11,3201.14
2026-05-21,Tech Fund,Sell,AMZN,-72,8356.78
2026-05-22,Value Fund,Sell,GOOGL,-74,20959.91
2026-05-23,Tech Fund,Sell,TSLA,-88,18335.67
2026-05-24,Value Fund,Sell,META,-58,3813.14
2026-05-25,Growth Fund,Buy,TSLA,41,12086.44
2026-05-26,Dividend Fund,Buy,GOOGL,100,45889.78
2026-05-27,Value Fund,Sell,META,-83,33042.16
2026-05-28,Dividend Fund,Buy,GOOG,36,10868.25
2026-05-29,Growth Fund,Sell,TSLA,-24,9324.69
2026-05-30,Tech Fund,Sell,AMZN,-55,16207.28
2026-05-31,Value Fund,Sell,GOOG,-23,10590.84
2026-06-01,Tech Fund,Sell,NVDA,-90,34116.31
2026-06-02,Growth Fund,Buy,TSLA,1,257.87
2026-06-03,Value Fund,Buy,BABA,54,12862.27
2026-06-04,Dividend Fund,Buy,MSFT,5,924.46
2026-06-05,Dividend Fund,Buy,NFLX,69,10578.62
2026-06-06,Tech Fund,Buy,TSLA,94,21110.53
2026-06-07,Value Fund,Buy,NVDA,13,4537.57
2026-06-08,Value Fund,Sell,GOOGL,-36,16534.63
2026-06-09,Dividend Fund,Buy,TSLA,65,10231.93
2026-06-10,Value Fund,Sell,AAPL,-29,7970.9
2026-06-11,Growth Fund,Sell,AMZN,-79,22732.01
2026-06-12,Tech Fund,Buy,GOOG,4,1955.44
2026-06-13,Growth Fund,Sell,GOOG,-89,36505.1
2026-06-14,Dividend Fund,Buy,GOOGL,53,15313.3
2026-06-15,Growth Fund,Buy,META,34,15251.9
2026-06-16,Value Fund,Buy,NFLX,3,800.49
2026-06-17,Growth Fund,Sell,TSLA,-73,11256.95
2026-06-18,Tech Fund,Sell,GOOG,-6,1816.05
2026-06-19,Growth Fund,Buy,TSLA,30,13545.39
2026-06-20,Growth Fund,Sell,AMZN,-30,8008.3
2026-06-21,Tech Fund,Sell,NFLX,-41,17115.07
2026-06-22,Growth Fund,Sell,NFLX,-63,17843.68
2026-06-23,Dividend Fund,Buy,META,30,3442.14
2026-06-24,Dividend Fund,Sell,BABA,-12,3587.69
2026-06-25,Value Fund,Sell,AAPL,-40,7248.66
2026-06-26,Growth Fund,Sell,TSLA,-10,3688.81
2026-06-27,Growth Fund,Buy,AAPL,14,5268.56
2026-06-28,Tech Fund,Buy,NFLX,12,2061.78
2026-06-29,Dividend Fund,Sell,GOOGL,-80,37956.48
2026-06-30,Growth Fund,Buy,GOOG,56,14549.65
2026-07-01,Value Fund,Buy,META,74,28396.89
2026-07-02,Dividend Fund,Buy,NVDA,14,2406.0
2026-07-03,Growth Fund,Sell,AMZN,-63,20460.14
2026-07-04,Dividend Fund,Sell,AAPL,-54,14711.18
2026-07-05,Value Fund,Sell,GOOGL,-83,38002.26
2026-07-06,Value Fund,Buy,GOOGL,13,4880.54
2026-07-07,Value Fund,Buy,META,1,235.25
2026-07-08,Tech Fund,Buy,NFLX,72,27301.25
2026-07-09,Tech Fund,Sell,TSLA,-30,4584.48
2026-07-10,Tech Fund,Sell,META,-12,4758.97
2026-07-11,Tech Fund,Buy,MSFT,44,19541.31
2026-07-12,Value Fund,Sell,AAPL,-7,2879.58
